Date,Codigo,Open,High,Low,Close,Volume
02/01/2013,B3SA3,26.0,26.19,25.46,25.8,8544400
03/01/2013,B3SA3,25.55,26.57,25.49,26.31,6648500
04/01/2013,B3SA3,26.2,26.31,25.87,25.99,6443000
07/01/2013,B3SA3,26.03,26.27,25.82,26.15,9670700
08/01/2013,B3SA3,26.0,26.84,25.99,26.45,14017800
09/01/2013,B3SA3,26.5,26.78,26.46,26.7,8220300
10/01/2013,B3SA3,26.68,26.8,25.98,26.3,5781400
11/01/2013,B3SA3,26.19,26.31,25.72,25.98,5680700
14/01/2013,B3SA3,26.15,27.04,26.11,26.9,9841400
15/01/2013,B3SA3,26.15,27.1,26.11,26.7,6068800
16/01/2013,B3SA3,26.45,26.86,26.4,26.86,3523300
17/01/2013,B3SA3,26.75,27.15,26.63,26.81,7813000
18/01/2013,B3SA3,26.25,26.48,25.6,26.2,8061400
21/01/2013,B3SA3,26.23,26.3,25.65,25.93,4525300
22/01/2013,B3SA3,25.88,26.07,25.5,25.93,6152600
23/01/2013,B3SA3,25.63,25.84,25.27,25.5,5001700
24/01/2013,B3SA3,25.52,25.72,25.15,25.4,4984400
28/01/2013,B3SA3,25.48,25.48,24.2,24.71,13331000
29/01/2013,B3SA3,24.68,25.08,24.41,25.02,5594600
30/01/2013,B3SA3,25.02,25.2,24.47,24.8,7829600
31/01/2013,B3SA3,24.94,24.94,24.04,24.4,7757400
01/02/2013,B3SA3,24.4,24.51,24.05,24.3,4607100
04/02/2013,B3SA3,24.2,24.2,23.66,23.85,4456000
05/02/2013,B3SA3,23.85,24.45,23.77,24.06,4924900
06/02/2013,B3SA3,24.19,24.19,23.45,23.93,7393700
07/02/2013,B3SA3,23.91,24.59,23.59,23.65,6199700
08/02/2013,B3SA3,23.71,24.1,23.63,23.82,6033000
13/02/2013,B3SA3,24.0,24.49,23.67,23.86,4730300
14/02/2013,B3SA3,23.7,23.87,23.51,23.8,4083000
15/02/2013,B3SA3,23.8,24.54,23.65,24.4,9576400
18/02/2013,B3SA3,24.3,24.69,23.99,24.08,3743700
19/02/2013,B3SA3,24.16,24.63,24.14,24.53,6282500
20/02/2013,B3SA3,24.58,24.68,24.05,24.3,5893000
21/02/2013,B3SA3,25.2,25.38,24.7,25.29,16228700
22/02/2013,B3SA3,25.4,25.8,25.12,25.72,8606800
25/02/2013,B3SA3,25.6,25.86,25.26,25.41,5841600
26/02/2013,B3SA3,25.2,25.7,25.0,25.39,6014600
27/02/2013,B3SA3,25.3,26.15,25.27,26.15,7997100
28/02/2013,B3SA3,26.0,26.5,25.97,26.34,6632300
01/03/2013,B3SA3,26.35,26.98,26.22,26.55,11252600
04/03/2013,B3SA3,26.3,26.63,26.05,26.52,5919100
05/03/2013,B3SA3,26.42,26.74,26.35,26.38,6665500
06/03/2013,B3SA3,26.61,26.86,26.38,26.66,6450800
07/03/2013,B3SA3,26.76,27.14,26.47,26.78,5251100
08/03/2013,B3SA3,26.63,27.29,26.55,27.27,6514900
11/03/2013,B3SA3,27.1,27.35,26.97,26.9,4178700
12/03/2013,B3SA3,27.0,27.13,26.43,26.59,6521600
13/03/2013,B3SA3,26.58,26.58,26.06,26.32,5624400
