Date,Codigo,Open,High,Low,Close,Volume
2013-01-02,B3SA3,14.2,14.31,14.01,14.11,11064300
2013-01-03,B3SA3,14.15,14.17,13.97,14.11,8380900
2013-01-04,B3SA3,14.01,14.12,13.73,13.85,13990200
2013-01-07,B3SA3,13.81,13.85,13.67,13.78,7149400
2013-01-08,B3SA3,13.65,14.02,13.65,13.9,12690100
2013-01-09,B3SA3,14.04,14.05,13.86,14,8322500
2013-01-10,B3SA3,14.07,14.09,13.8,13.99,14016100
2013-01-11,B3SA3,14.04,14.04,13.82,14,7115000
2013-01-14,B3SA3,14,14.02,13.85,13.89,8570400
2013-01-15,B3SA3,14,14.02,13.52,13.55,12216300
2013-01-16,B3SA3,13.47,13.52,13.12,13.4,11673100
2013-01-17,B3SA3,13.42,13.84,13.41,13.8,13039100
2013-01-18,B3SA3,13.85,13.95,13.73,13.92,7968800
2013-01-21,B3SA3,13.82,14,13.82,13.99,8364700
2013-01-22,B3SA3,13.93,14,13.76,13.99,8364700
2013-01-23,B3SA3,13.94,13.98,13.83,13.91,21616600
2013-01-24,B3SA3,13.91,13.94,13.52,13.64,7302500
2013-01-28,B3SA3,13.7,13.7,13.49,13.56,6422800
2013-01-29,B3SA3,13.5,13.94,13.5,13.92,7386800
2013-01-30,B3SA3,13.81,13.93,13.71,13.72,44090300
2013-01-31,B3SA3,13.8,13.98,13.64,13.94,11301300
2013-02-01,B3SA3,13.94,14.34,13.92,14.33,13697900
2013-02-04,B3SA3,14.17,14.25,13.9,14.05,11029100
2013-02-05,B3SA3,14.1,14.35,14.06,14.35,10447700
2013-02-06,B3SA3,14.32,14.32,13.82,13.88,11220700
2013-02-07,B3SA3,13.85,14.04,13.45,13.65,12350500
2013-02-08,B3SA3,13.56,13.69,13.42,13.44,9285100
2013-02-13,B3SA3,13.48,13.77,13.47,13.65,7652400
2013-02-14,B3SA3,13.64,13.64,13.35,13.48,5011900
2013-02-15,B3SA3,13.48,14.01,13.35,13.9,11456700
2013-02-18,B3SA3,13.8,13.94,13.65,13.75,10624000
2013-02-19,B3SA3,13.76,13.94,13.45,13.53,8855800
2013-02-20,B3SA3,13.5,13.5,12.9,13.15,24872300
2013-02-21,B3SA3,13.07,13.31,12.82,12.95,19916700
2013-02-22,B3SA3,13.03,13.19,12.8,13.19,14442600
2013-02-25,B3SA3,13.2,13.48,13.07,13.23,7224100
2013-02-26,B3SA3,13.19,13.47,13.13,13.27,7109400
2013-02-27,B3SA3,13.25,13.45,13.06,13.3,6877800
2013-02-28,B3SA3,13.23,13.57,13.2,13.41,6349200
2013-03-01,B3SA3,13.26,13.26,12.96,13.16,8290800
2013-03-04,B3SA3,13.13,13.18,12.82,13.18,12411100
2013-03-05,B3SA3,13.45,13.77,13.15,13.36,17812300
2013-03-06,B3SA3,13.41,14.05,13.4,14.01,10246000
2013-03-07,B3SA3,14.08,14.1,13.65,13.8,11789900
